tick,sim_time,ambient_temp_c,wind_speed_kmh,readiness,network_online,vehicle_id,lat,lon,speed_kmh,heading_deg,fuel_pct,battery_pct,engine_temp_c,vehicle_status
1,Day 01 00:01,-24.95,14.0,NOMINAL,True,HELI-01,-69.75,39.58,0.0,0.0,92.85714285714286,100.0,20.0,AVAILABLE
1,Day 01 00:01,-24.95,14.0,NOMINAL,True,VEH-01-SNOWCAT,-69.75,39.58,0.0,0.0,96.0,100.0,20.0,AVAILABLE
1,Day 01 00:01,-24.95,14.0,NOMINAL,True,VEH-02-SNOWCAT,-69.75,39.58,0.0,0.0,100.0,100.0,20.0,AVAILABLE
1,Day 01 00:01,-24.95,14.0,NOMINAL,True,SKIDOO-01,-69.78,39.65,0.0,0.0,91.66666666666666,98.0,20.0,AVAILABLE
1,Day 01 00:01,-24.95,14.0,NOMINAL,True,SKIDOO-02,-69.75,39.58,0.0,0.0,96.66666666666667,99.0,20.0,AVAILABLE
1,Day 01 00:01,-24.95,14.0,NOMINAL,True,BULLY-01,-69.75,39.58,0.0,0.0,91.42857142857143,100.0,20.0,AVAILABLE
2,Day 01 00:02,-24.81,12.1,NOMINAL,True,HELI-01,-69.75,39.58,0.0,0.0,92.85714285714286,100.0,20.0,AVAILABLE
2,Day 01 00:02,-24.81,12.1,NOMINAL,True,VEH-01-SNOWCAT,-69.75,39.58,0.0,0.0,96.0,100.0,20.0,AVAILABLE
2,Day 01 00:02,-24.81,12.1,NOMINAL,True,VEH-02-SNOWCAT,-69.75,39.58,0.0,0.0,100.0,100.0,20.0,AVAILABLE
2,Day 01 00:02,-24.81,12.1,NOMINAL,True,SKIDOO-01,-69.78,39.65,0.0,0.0,91.66666666666666,98.0,20.0,AVAILABLE
2,Day 01 00:02,-24.81,12.1,NOMINAL,True,SKIDOO-02,-69.75,39.58,0.0,0.0,96.66666666666667,99.0,20.0,AVAILABLE
2,Day 01 00:02,-24.81,12.1,NOMINAL,True,BULLY-01,-69.75,39.58,0.0,0.0,91.42857142857143,100.0,20.0,AVAILABLE
3,Day 01 00:03,-24.79,11.8,NOMINAL,True,HELI-01,-69.75,39.58,0.0,0.0,92.85714285714286,100.0,20.0,AVAILABLE
3,Day 01 00:03,-24.79,11.8,NOMINAL,True,VEH-01-SNOWCAT,-69.75,39.58,0.0,0.0,96.0,100.0,20.0,AVAILABLE
3,Day 01 00:03,-24.79,11.8,NOMINAL,True,VEH-02-SNOWCAT,-69.75,39.58,0.0,0.0,100.0,100.0,20.0,AVAILABLE
3,Day 01 00:03,-24.79,11.8,NOMINAL,True,SKIDOO-01,-69.78,39.65,0.0,0.0,91.66666666666666,98.0,20.0,AVAILABLE
3,Day 01 00:03,-24.79,11.8,NOMINAL,True,SKIDOO-02,-69.75,39.58,0.0,0.0,96.66666666666667,99.0,20.0,AVAILABLE
3,Day 01 00:03,-24.79,11.8,NOMINAL,True,BULLY-01,-69.75,39.58,0.0,0.0,91.42857142857143,100.0,20.0,AVAILABLE
4,Day 01 00:04,-24.92,12.7,NOMINAL,True,HELI-01,-69.75,39.58,0.0,0.0,92.85714285714286,100.0,20.0,AVAILABLE
4,Day 01 00:04,-24.92,12.7,NOMINAL,True,VEH-01-SNOWCAT,-69.75,39.58,0.0,0.0,96.0,100.0,20.0,AVAILABLE
4,Day 01 00:04,-24.92,12.7,NOMINAL,True,VEH-02-SNOWCAT,-69.75,39.58,0.0,0.0,100.0,100.0,20.0,AVAILABLE
4,Day 01 00:04,-24.92,12.7,NOMINAL,True,SKIDOO-01,-69.78,39.65,0.0,0.0,91.66666666666666,98.0,20.0,AVAILABLE
4,Day 01 00:04,-24.92,12.7,NOMINAL,True,SKIDOO-02,-69.75,39.58,0.0,0.0,96.66666666666667,99.0,20.0,AVAILABLE
4,Day 01 00:04,-24.92,12.7,NOMINAL,True,BULLY-01,-69.75,39.58,0.0,0.0,91.42857142857143,100.0,20.0,AVAILABLE
5,Day 01 00:05,-24.91,13.8,NOMINAL,True,HELI-01,-69.75,39.58,0.0,0.0,92.85714285714286,100.0,20.0,AVAILABLE
